id,name,kind,authority,github_url,website_url
404-gen,404-GEN,subnet-team,community,https://github.com/404-Repo/404-gen-subnet,https://www.404.xyz/
academia,Academia,subnet-team,official,https://github.com/fx-integral/academia,https://github.com/fx-integral/academia
actual-computer,Actual Computer,subnet-team,provider-claimed,,https://actual.inc/
adtao,AdTAO,subnet-team,official,https://github.com/ippcteam/SN21-adtao,https://adtao.io/
affine,Affine,subnet-team,community,https://github.com/AffineFoundation/affine,https://www.affine.io/
albedo,Albedo,subnet-team,community,https://github.com/unarbos/albedo,https://us-east-1.hippius.com/albedo/index.html
allways,Allways,subnet-team,provider-claimed,,https://all-ways.io
alphacore,AlphaCore,subnet-team,official,https://github.com/AlphaCoreBittensor/alphacore,https://alpha-core.ai/
astrid,Astrid,subnet-team,community,https://github.com/astridintelligence/sn-127,https://www.astrid.global/
aurelius,Aurelius,subnet-team,community,https://github.com/Aurelius-Protocol/Aurelius-Protocol,https://aureliusaligned.ai/
babelbit,Babelbit,subnet-team,community,https://github.com/babelbit/babelbit_subnet,https://babelbit.ai/
backprop-finance,Backprop Finance,data-provider,provider-claimed,,https://backprop.finance
beam,Beam,subnet-team,community,https://github.com/Beam-Network,https://b1m.ai/
bitads,BitAds,subnet-team,official,https://github.com/FirstTensorLabs/BitAds,https://bitads.ai/
bitcast,Bitcast,subnet-team,community,https://github.com/bitcast-network/bitcast,https://stats.bitcast.network/
bitcast-network,Bitcast,subnet-team,community,,https://www.bitcast.network
bitmind,BitMind,subnet-team,official,https://github.com/BitMind-AI,https://bitmind.ai/
bitrecs,Bitrecs,subnet-team,official,https://github.com/bitrecs/bitrecs-subnet,https://www.bitrecs.ai/
bitsec-ai,Bitsec.ai,subnet-team,community,https://github.com/Bitsec-AI/sandbox,https://bitsec.ai/
bitstarter,Bitstarter,subnet-team,official,,https://bitstarter.ai/
blockmachine,BlockMachine,infrastructure-provider,provider-claimed,,https://blockmachine.io
byzantium,Byzantium,subnet-team,official,https://github.com/safe-scan-ai,https://www.byzantiumai.net/
cacheon,Cacheon,subnet-team,official,https://github.com/latent-to/cacheon,https://cacheon.ai/
chipforge,ChipForge,subnet-team,official,https://github.com/TatsuProject/ChipForge_SN84,https://www.chipforge.io/
chutes,Chutes,subnet-team,official,https://github.com/chutesai/chutes,https://chutes.ai/
cliqueai,CliqueAI,subnet-team,community,https://github.com/toptensor/CliqueAI,https://cliqueai.toptensor.ai/
coldint,Coldint,subnet-team,official,https://github.com/coldint/coldint_validator,https://coldint.io/
compelle,Compelle,subnet-team,official,https://github.com/compelle/compelle-validator,https://compelle.com/
compute-horde,Compute Horde,subnet-team,official,https://github.com/backend-developers-ltd/ComputeHorde,https://computehorde.io/
connito,Connito,subnet-team,official,https://github.com/Connito-AI/Connito,https://connito.ai/
degenbrain,DegenBrain,subnet-team,provider-claimed,,https://subnet90.com/
desearch,Desearch,subnet-team,official,https://github.com/Desearch-ai/subnet-22,https://www.desearch.ai/
ditto-assistant,Ditto,subnet-team,official,https://github.com/orgs/ditto-assistant/repositories,https://heyditto.ai/
djinn,Djinn,subnet-team,official,https://github.com/Djinn-Inc/djinn,https://www.djinn.gg/
dogelayer,dogelayer,subnet-team,community,https://github.com/dogelayer-ai/dogelayer,https://dogelayer.ai/
dwellir,Dwellir,infrastructure-provider,provider-claimed,,https://www.dwellir.com
eightball,8 Ball,subnet-team,official,https://github.com/Barbariandev/8Ball_miner,https://8ball125.com/
eirel,Eirel,subnet-team,community,https://github.com/RendixNetwork/eirel-ai,https://eirel.ai/
endure,Endure,subnet-team,official,,https://endure.network/
evolai,EvolAI,subnet-team,official,https://github.com/openevolai/evolai,https://evolai.ai/
flamewire,FlameWire,infrastructure-provider,provider-claimed,,https://flamewire.io
forevermoney,ForeverMoney,subnet-team,official,https://github.com/SN98-ForeverMoney/forever-money,https://forevermoney.ai/
getblock,GetBlock,infrastructure-provider,provider-claimed,,https://getblock.io
gittensor,Gittensor,subnet-team,provider-claimed,,https://gittensor.io
gittensory,Gittensory,data-provider,provider-claimed,https://github.com/JSONbored/gittensory,https://gittensory.aethereal.dev
gopher-ai,Gopher AI,subnet-team,official,https://github.com/gopher-lab/subnet-42,https://developers.gopher-ai.com/
gradients,Gradients,subnet-team,provider-claimed,https://github.com/gradients-ai/G.O.D,https://www.gradients.io/
graphite-ai,Graphite AI,subnet-team,official,https://github.com/GraphiteAI/Graphite-Subnet,https://graphite-ai.net/
green-compute,Green Compute,subnet-team,official,,https://www.green-compute.com/
groundlayer,GroundLayer,subnet-team,official,,https://www.groundlayer.xyz/
handshake58,Handshake58,subnet-team,official,https://github.com/Handshake58/HS58,https://handshake58.com
harnyx,Harnyx,subnet-team,community,https://github.com/harnyx/harnyx,https://harnyx.ai/
hashichain,HashiChain,subnet-team,official,https://github.com/hashi115/hashichain,https://github.com/hashi115/hashichain
hippius,Hippius,subnet-team,official,https://github.com/thenervelab/hippius-validator,https://hippius.com/
hone,Hone,subnet-team,official,https://github.com/manifold-inc/hone,https://www.hone.training/
inference-labs,Inference Labs,subnet-team,official,https://github.com/inference-labs-inc/subnet-2,https://subnet2.inferencelabs.com/
infinitehash,InfiniteHash,subnet-team,official,https://github.com/backend-developers-ltd/InfiniteHash,https://github.com/backend-developers-ltd/InfiniteHash
its-ai,ItsAI,subnet-team,official,https://github.com/It-s-AI/llm-detection,https://its-ai.org/en
leadpoet,Leadpoet,subnet-team,community,https://github.com/leadpoet/leadpoet,https://leadpoet.com/
leoma,Leoma,subnet-team,community,https://github.com/RendixNetwork/leoma,https://leoma.ai/
liquidity,Liquidity,subnet-team,community,https://github.com/creativebuilds/sn77,https://sn77.xyz/
luminar-network,Luminar Network,subnet-team,official,,https://luminar.network/
macrocosmos,Macrocosmos,subnet-team,official,https://github.com/macrocosm-os/data-universe,https://www.macrocosmos.ai/
mantis,MANTIS,subnet-team,official,https://github.com/Barbariandev/MANTIS,https://github.com/Barbariandev/MANTIS
metagraphed,Metagraphed,registry,registry-observed,,https://metagraph.sh
minos,Minos,subnet-team,community,https://github.com/minos-protocol/minos_subnet,https://theminos.ai/
