id,netuid,subnet_slug,subnet_name,kind,name,provider,authority,url,auth_required,public_safe,probe_status
bittensor-networks-docs,0,root,root,docs,Bittensor network endpoint docs,opentensor,official,https://docs.learnbittensor.org/concepts/bittensor-networks,false,true,
bittensor-subtensor-node-docs,0,root,root,docs,Bittensor Subtensor node docs,opentensor,official,https://docs.learnbittensor.org/subtensor-nodes,false,true,
bittensor-subtensor-source,0,root,root,source-repo,Subtensor source repository,opentensor,official,https://github.com/opentensor/subtensor,false,true,
bittensor-website,0,root,root,website,Bittensor website,opentensor,official,https://bittensor.com,false,true,
nodies-finney-rpc,0,root,root,subtensor-rpc,Nodies Finney HTTPS RPC,nodies,community,https://bittensor-public.nodies.app,true,false,
onfinality-finney-rpc,0,root,root,subtensor-rpc,OnFinality Finney HTTPS RPC,onfinality,provider-claimed,https://bittensor-finney.api.onfinality.io/public,false,true,
onfinality-finney-wss,0,root,root,subtensor-wss,OnFinality Finney WSS,onfinality,provider-claimed,wss://bittensor-finney.api.onfinality.io/public-ws,false,true,
opentensor-archive-rpc,0,root,root,subtensor-rpc,OpenTensor archive HTTPS RPC,opentensor,official,https://archive.chain.opentensor.ai,false,true,
opentensor-archive-wss,0,root,root,subtensor-wss,OpenTensor archive WSS,opentensor,official,wss://archive.chain.opentensor.ai:443,false,true,
opentensor-finney-rpc,0,root,root,subtensor-rpc,OpenTensor Finney HTTPS RPC,opentensor,official,https://entrypoint-finney.opentensor.ai,false,true,
opentensor-finney-wss,0,root,root,subtensor-wss,OpenTensor Finney WSS,opentensor,official,wss://entrypoint-finney.opentensor.ai:443,false,true,
opentensor-lite-rpc,0,root,root,subtensor-rpc,OpenTensor lite HTTPS RPC,opentensor,official,https://lite.chain.opentensor.ai,false,true,
opentensor-lite-wss,0,root,root,subtensor-wss,OpenTensor lite WSS,opentensor,official,wss://lite.chain.opentensor.ai:443,false,true,
sn-0-backprop-dashboard,0,root,root,dashboard,root Backprop Finance dashboard,backprop-finance,registry-observed,https://backprop.finance/dtao/subnets/0-root,false,true,
sn-0-subnetradar-dashboard,0,root,root,dashboard,root SubnetRadar dashboard,subnetradar,registry-observed,https://subnetradar.com/subnet/0,false,true,
sn-0-taomarketcap-dashboard,0,root,root,dashboard,root TaoMarketCap dashboard,taomarketcap,provider-claimed,https://taomarketcap.com/subnets/0,false,true,
sn-0-tensorplex-docs,0,root,root,docs,root Tensorplex subnet docs,tensorplex-subnet-docs,community,https://github.com/tensorplex-labs/subnet-docs/tree/main/data/0,false,true,
sn-1-apex-docs,1,sn-1,Apex,docs,Apex docs,macrocosmos,official,https://docs.macrocosmos.ai/subnets/subnet-1-apex,false,true,
sn-1-apex-source,1,sn-1,Apex,source-repo,Apex source repository,macrocosmos,official,https://github.com/macrocosm-os/apex,false,true,
